__run_id,__done,run_number,llm,problem_difficulty,problem,correctness
run_44,,r2,Claude,medium,M-LN,
run_51,,r0,Claude,hard,H-RC,
run_1,,r1,GPT-4o,easy,E-MX,
run_29,,r2,GeminiUltra,medium,M-WJ,
run_45,,r0,Claude,medium,M-WJ,
run_36,,r0,Claude,easy,E-MX,
run_23,,r2,GeminiUltra,easy,E-TT,
run_53,,r2,Claude,hard,H-RC,
run_42,,r0,Claude,medium,M-LN,
run_0,,r0,GPT-4o,easy,E-MX,
run_20,,r2,GeminiUltra,easy,E-MX,
run_17,,r2,GPT-4o,hard,H-RC,
run_33,,r0,GeminiUltra,hard,H-RC,
run_19,,r1,GeminiUltra,easy,E-MX,
run_21,,r0,GeminiUltra,easy,E-TT,
run_11,,r2,GPT-4o,medium,M-WJ,
run_35,,r2,GeminiUltra,hard,H-RC,
run_24,,r0,GeminiUltra,medium,M-LN,
run_31,,r1,GeminiUltra,hard,H-OT,
run_14,,r2,GPT-4o,hard,H-OT,
run_8,,r2,GPT-4o,medium,M-LN,
run_32,,r2,GeminiUltra,hard,H-OT,
run_37,,r1,Claude,easy,E-MX,
run_5,,r2,GPT-4o,easy,E-TT,
run_6,,r0,GPT-4o,medium,M-LN,
run_12,,r0,GPT-4o,hard,H-OT,
run_28,,r1,GeminiUltra,medium,M-WJ,
run_26,,r2,GeminiUltra,medium,M-LN,
run_39,,r0,Claude,easy,E-TT,
run_34,,r1,GeminiUltra,hard,H-RC,
run_47,,r2,Claude,medium,M-WJ,
run_3,,r0,GPT-4o,easy,E-TT,
run_9,,r0,GPT-4o,medium,M-WJ,
run_2,,r2,GPT-4o,easy,E-MX,
run_41,,r2,Claude,easy,E-TT,
run_50,,r2,Claude,hard,H-OT,
run_27,,r0,GeminiUltra,medium,M-WJ,
run_10,,r1,GPT-4o,medium,M-WJ,
run_30,,r0,GeminiUltra,hard,H-OT,
run_43,,r1,Claude,medium,M-LN,
run_18,,r0,GeminiUltra,easy,E-MX,
run_46,,r1,Claude,medium,M-WJ,
run_13,,r1,GPT-4o,hard,H-OT,
run_52,,r1,Claude,hard,H-RC,
run_49,,r1,Claude,hard,H-OT,
run_48,,r0,Claude,hard,H-OT,
run_38,,r2,Claude,easy,E-MX,
run_25,,r1,GeminiUltra,medium,M-LN,
run_4,,r1,GPT-4o,easy,E-TT,
run_22,,r1,GeminiUltra,easy,E-TT,
run_40,,r1,Claude,easy,E-TT,
run_15,,r0,GPT-4o,hard,H-RC,
run_7,,r1,GPT-4o,medium,M-LN,
run_16,,r1,GPT-4o,hard,H-RC,
